customer_id,occupation,employment_type,education,completed_years_of_education,marital_status,relationship_in_household,race,country,total_quantity,total_spent,avg_quantity,avg_spent,var_quantity,var_spent,number_of_orders,age,type_of_client
442855,Other-service,Private,HS-grad,9,Divorced,Unmarried,White,United-States,144,79.20,144.0000,79.200000,0,0,1,24,NULL
587848,Unknown,Unknown,Doctorate,16,Married-civ-spouse,Husband,White,United-States,208,521.11,2.1443,5.372268,2.226591561271124,26.592747433308524,97,69,NULL
1787912,Farming-fishing,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Husband,White,United-States,55,172.89,3.6667,11.526000,8.222222222222221,100.48919733333334,15,66,Wholesaler
5740114,Craft-repair,Private,Assoc-voc,11,Married-civ-spouse,Husband,White,United-States,48,188.15,4.0000,15.679167,11,184.31019097222222,12,44,NULL
5957969,Other-service,Private,Bachelors,13,Married-civ-spouse,Husband,White,United-States,20,56.15,2.0000,5.615000,10.2,97.31570499999998,10,66,NULL
7362956,Farming-fishing,State-gov,Some-college,10,Married-civ-spouse,Husband,White,United-States,15,41.57,2.5000,6.928333,6.25,67.27551388888891,6,49,NULL
7675160,Prof-specialty,Local-gov,Bachelors,13,Never-married,Not-in-family,White,United-States,53,99.95,5.3000,9.995000,16.009999999999998,65.006225,10,31,Wholesaler
8454297,Prof-specialty,Local-gov,Masters,14,Married-civ-spouse,Husband,White,United-States,174,512.99,3.0000,8.844655,4.586206896551723,92.25181453626632,58,29,NULL
8840517,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Husband,White,United-States,36,267.78,2.7692,20.598462,18.331360946745562,2244.4024745562133,13,37,NULL
9854163,Prof-specialty,Private,Bachelors,13,Married-civ-spouse,Wife,Asian-Pac-Islander,Philippines,2375,5067.14,5.8642,12.511457,17.60871818320377,80.84204701356495,405,36,Wholesaler
11815924,Machine-op-inspct,Private,11th,7,Never-married,Unmarried,White,United-States,105,250.38,3.7500,8.942143,11.1875,91.83340969387754,28,24,NULL
12285299,Prof-specialty,Private,HS-grad,9,Never-married,Not-in-family,White,United-States,5,8.20,2.5000,4.100000,0.25,4.840000000000001,2,29,NULL
13978587,Machine-op-inspct,Private,HS-grad,9,Divorced,Not-in-family,White,United-States,21,46.68,2.1000,4.668000,4.6899999999999995,38.495116,10,37,NULL
14336787,Sales,Private,Some-college,10,Married-civ-spouse,Husband,White,United-States,185,591.97,3.3036,10.570893,8.711415816326538,142.07538670280616,56,25,NULL
15462071,Machine-op-inspct,Private,Some-college,10,Married-civ-spouse,Husband,Black,United-States,46,163.94,2.1905,7.806667,6.820861678004535,88.9522603174603,21,34,NULL
17218184,Adm-clerical,Private,HS-grad,9,Married-civ-spouse,Husband,White,United-States,219,531.84,5.3415,12.971707,13.249256395002979,100.87640928019034,41,68,NULL
21579729,Sales,Private,HS-grad,9,Divorced,Unmarried,Black,United-States,70,280.36,3.6842,14.755789,5.795013850415513,119.34170858725761,19,36,NULL
22489884,Craft-repair,Private,7th-8th,4,Married-civ-spouse,Husband,White,United-States,248,389.44,3.1795,4.992821,7.301117685733068,73.02963050624588,78,61,NULL
24912767,Adm-clerical,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Wife,White,United-States,1028,1717.28,2.2203,3.709028,3.618853472283773,60.273579832904964,463,53,NULL
25141515,Craft-repair,Private,11th,7,Married-civ-spouse,Husband,White,United-States,257,548.29,3.3377,7.120649,3.8600101197503807,62.7277255523697,77,35,NULL
25579389,Exec-managerial,Local-gov,Some-college,10,Divorced,Unmarried,White,United-States,71,221.58,3.2273,10.071818,4.266528925619835,53.20976942148761,22,57,NULL
27890596,Other-service,Private,HS-grad,9,Never-married,Other-relative,White,United-States,97,201.36,3.0313,6.292500,6.2802734375,94.62086250000002,32,29,NULL
28491770,Craft-repair,Private,Some-college,10,Married-civ-spouse,Husband,White,United-States,20,143.70,2.5000,17.962500,1.25,129.47484375,8,38,NULL
28647393,Other-service,Private,10th,6,Never-married,Own-child,White,United-States,3518,10656.35,17.1610,51.982195,2641.9692088042834,15225.157139083876,205,17,NULL
30704042,Transport-moving,Local-gov,HS-grad,9,Married-civ-spouse,Husband,White,United-States,311,260.83,8.6389,7.245278,1531.7862654320988,120.58464158950613,36,56,NULL
31013817,Machine-op-inspct,Private,Some-college,10,Divorced,Unmarried,Amer-Indian-Eskimo,United-States,67,225.55,1.7179,5.783333,1.1768573307034846,50.73962735042734,39,33,NULL
32975590,Sales,Private,Some-college,10,Never-married,Not-in-family,White,United-States,283,504.88,1.9790,3.530629,2.873685754804635,8.392387715780728,143,27,NULL
34118196,Prof-specialty,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Husband,White,United-States,634,1903.68,3.0628,9.196522,6.35837475787066,112.04738983406848,207,38,Wholesaler
34233592,Prof-specialty,Self-emp-inc,Bachelors,13,Never-married,Not-in-family,White,United-States,1403,4320.27,2.9168,8.981850,3.589757997242404,164.82971986116914,481,31,Wholesaler
34571465,Unknown,Unknown,HS-grad,9,Widowed,Not-in-family,White,United-States,2639,4412.95,47.9818,80.235455,4807.545123966941,12958.359788429752,55,64,NULL
37144581,Sales,Private,Bachelors,13,Never-married,Own-child,White,United-States,639,682.61,8.6351,9.224459,1219.0966033601167,334.9290274105186,74,22,NULL
38016661,Handlers-cleaners,Private,5th-6th,3,Never-married,Not-in-family,White,United-States,59,224.55,2.6818,10.206818,5.762396694214875,65.7018853305785,22,76,NULL
38061208,Exec-managerial,Private,Some-college,10,Widowed,Unmarried,White,United-States,527,988.78,2.8956,5.432857,3.357233425914745,22.2102863422292,182,53,Wholesaler
38229928,Exec-managerial,Private,Bachelors,13,Married-civ-spouse,Husband,White,United-States,69,160.22,1.9167,4.450556,2.9097222222222228,10.2690774691358,36,44,Wholesaler
38866760,Adm-clerical,Private,HS-grad,9,Divorced,Unmarried,Black,United-States,161,695.01,2.9815,12.870556,4.721879286694102,59.41297191358026,54,37,NULL
39065560,Craft-repair,Private,HS-grad,9,Married-civ-spouse,Husband,White,United-States,11,71.01,2.7500,17.752500,0.6875,303.54456875,4,27,Personal
39478824,Exec-managerial,Self-emp-inc,Bachelors,13,Married-civ-spouse,Husband,White,United-States,1942,1557.12,16.7414,13.423448,4011.571046373365,446.03913293698,116,58,Wholesaler
41235008,Transport-moving,Private,HS-grad,9,Never-married,Other-relative,Black,United-States,23,108.35,3.2857,15.478571,0.7755102040816327,230.53418367346939,7,20,NULL
43188762,Prof-specialty,Private,Some-college,10,Married-civ-spouse,Husband,White,United-States,324,724.48,3.5217,7.874783,11.727788279773154,96.63748582230625,92,40,NULL
43454381,Other-service,Private,9th,5,Never-married,Own-child,White,United-States,37,138.77,2.8462,10.674615,2.591715976331361,80.58214792899409,13,31,NULL
44987617,Adm-clerical,Private,HS-grad,9,Never-married,Own-child,White,United-States,29,109.52,1.8125,6.845000,1.4023437500000004,67.7598375,16,51,NULL
45152754,Unknown,Unknown,HS-grad,9,Married-civ-spouse,Husband,White,United-States,1099,624.39,42.2692,24.015000,13383.88905325444,1651.5668326923078,26,80,NULL
